city,neighbourhood,total_count,average_price
Rio de Janeiro,Ipanema,355,311.03
Bangkok,Bang Na,348,1269.65
New York,East Harlem,347,172.88
Bangkok,Chatu Chak,346,1634.54
Cape Town,Ward 69,343,3166.85
Rome,VIII Appia Antica,342,53.58
Istanbul,Kagithane,336,225.12
New York,Murray Hill,334,188.9
Bangkok,Parthum Wan,333,3882.78
Sydney,Rockdale,332,175.44
Rome,XV Cassia/Flaminia,330,111.91
Istanbul,Fatih,326,419.04
Mexico City,Cuajimalpa de Morelos,323,1628.35
Sydney,Ryde,317,74.17
Rio de Janeiro,Jacarepagua,316,293.66
Paris,Passy,302,90.84
Sydney,Parramatta,302,83.39
Rome,IV Tiburtina,301,42.68
New York,Greenpoint,300,77.6
New York,Woodside,299,38.88
Rome,XI Arvalia/Portuense,298,82
Bangkok,Din Daeng,298,1870.17
New York,Kips Bay,298,194.28
Cape Town,Ward 57,286,1086.71
Sydney,Willoughby,285,247.16
Istanbul,Kagithane,282,397.56
Mexico City,Tlalpan,279,1157.09
Rio de Janeiro,Tijuca,277,246.08
New York,Upper East Side,276,111.01
New York,Lower East Side,275,311.03
Cape Town,Ward 77,274,884.11
Rio de Janeiro,Recreio dos Bandeirantes,272,301.71
Bangkok,Chatu Chak,268,1555.34
Paris,Luxembourg,267,103.18
Cape Town,Ward 58,267,1532.97
Bangkok,Sathon,266,2478.98
New York,Park Slope,266,192
New York,Financial District,263,204.09
New York,Clinton Hill,260,222.44
Sydney,Ryde,258,157.7
Cape Town,Ward 15,257,1666.24
New York,Chelsea,255,125.01
Bangkok,Suanluang,253,1734.39
Bangkok,Khlong San,249,2552.49
Bangkok,Phra Khanong,249,1770.3
New York,Flushing,248,64.68
Paris,Pantheon,248,106.54
Bangkok,Phaya Thai,247,1752.21
Sydney,Leichhardt,247,121.02
Cape Town,Ward 71,246,3268.87
New York,Fort Greene,246,185.02
Istanbul,Basaksehir,240,667.48
Rio de Janeiro,Laranjeiras,240,792.98
Sydney,Sydney,239,46.25
New York,Astoria,238,162.47
New York,East Flatbush,234,64.74
Mexico City,Venustiano Carranza,234,813.37
Rome,III Monte Sacro,234,85.7
Sydney,Botany Bay,234,184.44
Sydney,Hornsby,231,242.97
Bangkok,Din Daeng,227,2849.49
Cape Town,Ward 100,227,1647.85
Istanbul,Maltepe,226,199.47
New York,Financial District,225,104.26
Rome,XI Arvalia/Portuense,225,46.37
New York,Flatbush,224,62.53
Rome,IV Tiburtina,219,87.63
Mexico City,Gustavo A. Madero,218,688.87
Sydney,Parramatta,217,143.6
Cape Town,Ward 84,216,1631.83
Rome,IX Eur,214,100.17
Bangkok,Phaya Thai,213,1797.08
Sydney,Canterbury,212,77.56
Bangkok,Bang Na,212,2133.58
Sydney,Blacktown,211,65.04
Istanbul,Atasehir,208,418.13
Istanbul,Beyoglu,207,604.03
Cape Town,Ward 83,206,1270.71
Cape Town,Ward 23,205,1198.44
New York,Washington Heights,204,131.4
Hong Kong,Islands,203,1095.59
Rome,XIV Monte Mario,202,60.48
Istanbul,Uskudar,201,700.92
Rio de Janeiro,Lagoa,200,1837.1
Sydney,Auburn,198,158.65
Paris,Bourse,197,114.02
Rio de Janeiro,Camorim,196,495.31
Cape Town,Ward 57,196,535
Mexico City,Venustiano Carranza,195,451.07
New York,Flatbush,194,154.87
New York,Ridgewood,194,56.31
Bangkok,Khlong San,194,1990.39
Paris,Elysee,193,173.67
Sydney,Hornsby,192,65.52
New York,Prospect-Lefferts Gardens,191,139.06
Cape Town,Ward 74,191,2282.6
New York,Long Island City,191,75.37
Sydney,Canada Bay,191,199.94
Bangkok,Suanluang,190,1957.65
Rome,X Ostia/Acilia,189,59.08
Sydney,Canada Bay,188,107.28
