city,neighbourhood,total_count
New York,College Point,13
Mexico City,Iztacalco,13
Rio de Janeiro,Flamengo,13
Bangkok,Nong Chok,13
Rio de Janeiro,Praca Seca,13
Sydney,Marrickville,12
Cape Town,Ward 22,12
Hong Kong,Eastern,12
Cape Town,Ward 77,12
Istanbul,Kartal,12
New York,Pelham Gardens,12
Istanbul,Bahcelievler,12
Cape Town,Ward 67,12
Sydney,Burwood,12
Rio de Janeiro,Engenho Novo,12
Istanbul,Kucukcekmece,12
Istanbul,Silivri,12
Sydney,Mosman,12
Rio de Janeiro,Saude,12
Hong Kong,Sham Shui Po,12
New York,Rockaway Beach,12
Hong Kong,Kwun Tong,12
Mexico City,A�lvaro Obregon,12
Rome,XIV Monte Mario,12
Bangkok,Bang Na,12
Istanbul,Sariyer,12
New York,Mount Hope,12
Rio de Janeiro,Paqueta,12
Cape Town,Ward 56,12
New York,Battery Park City,12
Rio de Janeiro,Sao Francisco Xavier,12
New York,Cambria Heights,12
Paris,Pantheon,12
New York,Cobble Hill,12
Rome,XII Monte Verde,12
Rio de Janeiro,Cidade Nova,11
New York,College Point,11
Mexico City,Cuajimalpa de Morelos,11
New York,Murray Hill,11
New York,Howard Beach,11
Hong Kong,Tai Po,11
Sydney,Woollahra,11
New York,Bronxdale,11
Mexico City,Venustiano Carranza,11
Hong Kong,Sha Tin,11
Rio de Janeiro,Bangu,11
Paris,Buttes-Chaumont,11
Cape Town,Ward 49,11
New York,Edenwald,11
Hong Kong,Tsuen Wan,11
Paris,Elysee,11
Bangkok,Lak Si,11
Bangkok,Don Mueang,11
New York,Civic Center,11
Rio de Janeiro,Cachambi,11
New York,Upper West Side,11
New York,Belmont,11
New York,East Flatbush,11
Paris,Hotel-de-Ville,11
Rio de Janeiro,Sao Conrado,11
Bangkok,Thawi Watthana,11
Rio de Janeiro,Vila Isabel,11
New York,Laurelton,11
Rio de Janeiro,Penha,11
New York,Greenpoint,11
New York,Highbridge,11
Bangkok,Nong Khaem,11
New York,Concord,10
Rio de Janeiro,Santa Cruz,10
Rio de Janeiro,Cidade Nova,10
New York,Pelham Gardens,10
Paris,Opera,10
Rio de Janeiro,Todos os Santos,10
Sydney,Canterbury,10
Hong Kong,Yuen Long,10
New York,Jamaica Estates,10
New York,Elmhurst,10
Cape Town,Ward 100,10
New York,Navy Yard,10
Rio de Janeiro,Rocinha,10
Cape Town,Ward 6,10
New York,Tremont,10
Hong Kong,Sha Tin,10
New York,Cambria Heights,10
New York,Bergen Beach,10
New York,South Ozone Park,10
New York,Throgs Neck,10
New York,Kew Gardens,10
Mexico City,Iztapalapa,10
Paris,Menilmontant,10
Bangkok,Bang Khun thain,10
New York,Hollis,10
New York,DUMBO,10
Istanbul,Bayrampasa,10
Rio de Janeiro,Centro,10
New York,Soundview,10
Istanbul,Eyup,10
New York,Fort Hamilton,10
Rome,VIII Appia Antica,10
New York,Clason Point,10
Paris,Bourse,10
Hong Kong,Central & Western,10
Mexico City,Milpa Alta,10
Rio de Janeiro,Freguesia (Jacarepagua),10
New York,Arrochar,9
New York,Schuylerville,9
New York,Randall Manor,9
New York,Dyker Heights,9
Rio de Janeiro,Iraja,9
Rio de Janeiro,Vila Valqueire,9
Cape Town,Ward 46,9
New York,Kew Gardens Hills,9
Bangkok,Yan na wa,9
Rio de Janeiro,Catete,9
New York,Crown Heights,9
Istanbul,Sultangazi,9
New York,Bath Beach,9
Istanbul,Adalar,9
New York,Eastchester,9
Rio de Janeiro,Saude,9
Rio de Janeiro,Rocha,9
Cape Town,Ward 43,9
New York,Bay Ridge,9
New York,Bellerose,9
Sydney,Auburn,9
Cape Town,Ward 56,9
Hong Kong,Wan Chai,9
New York,Grymes Hill,9
Cape Town,Ward 85,9
New York,Mount Hope,9
Sydney,Strathfield,9
Rio de Janeiro,Barra da Tijuca,9
Istanbul,Umraniye,8
New York,Roosevelt Island,8
Rio de Janeiro,Del Castilho,8
Rio de Janeiro,Encantado,8
Cape Town,Ward 72,8
Rio de Janeiro,Benfica,8
Rio de Janeiro,Realengo,8
Rio de Janeiro,Rocinha,8
New York,Pelham Bay,8
Bangkok,Bang Phlat,8
New York,Fieldston,8
Rio de Janeiro,Sao Francisco Xavier,8
New York,Clason Point,8
Rio de Janeiro,Riachuelo,8
Cape Town,Ward 54,8
New York,Financial District,8
Istanbul,Kartal,8
Sydney,Hurstville,8
Cape Town,Ward 26,8
Rio de Janeiro,Rio Comprido,8
Rio de Janeiro,Rocha,8
Rio de Janeiro,Tanque,8
New York,Bath Beach,8
Sydney,Willoughby,8
Rio de Janeiro,Santo Cristo,8
Bangkok,Phra Khanong,8
Rio de Janeiro,Riachuelo,8
New York,City Island,8
New York,Columbia St,8
Rio de Janeiro,Guadalupe,8
Istanbul,Bagcilar,8
Rio de Janeiro,Lins de Vasconcelos,8
Bangkok,Dusit,8
New York,Baychester,8
Rio de Janeiro,Gamboa,8
Bangkok,Lat Krabang,8
Istanbul,Esenler,8
Rio de Janeiro,Meier,8
Mexico City,A�lvaro Obregon,8
Rio de Janeiro,Botafogo,7
New York,Gowanus,7
New York,Bronxdale,7
New York,Claremont Village,7
New York,Dyker Heights,7
Rome,XIII Aurelia,7
Bangkok,Thawi Watthana,7
New York,NoHo,7
Rio de Janeiro,Vila Valqueire,7
Rio de Janeiro,Encantado,7
Mexico City,Cuajimalpa de Morelos,7
Rio de Janeiro,Gloria,7
Rio de Janeiro,Cidade de Deus,7
New York,East Morrisania,7
Rio de Janeiro,Bonsucesso,7
New York,Jamaica Estates,7
Rio de Janeiro,Laranjeiras,7
New York,Morris Park,7
Cape Town,Ward 43,7
New York,Coney Island,7
Rio de Janeiro,Bangu,7
Rio de Janeiro,Marechal Hermes,7
Cape Town,Ward 109,7
Rio de Janeiro,Gamboa,7
Sydney,Ashfield,7
New York,Lower East Side,7
New York,East Village,7
Bangkok,Nong Khaem,7
New York,Arrochar,7
Rome,IV Tiburtina,7
Bangkok,Bang Kapi,7
Rio de Janeiro,Praca Seca,7
Rome,VI Roma delle Torri,7
Rio de Janeiro,Tanque,7
New York,Far Rockaway,7
Cape Town,Ward 4,7
New York,Corona,7
New York,Flushing,7
New York,Long Island City,7
New York,Sheepshead Bay,7
Sydney,Manly,6
Rio de Janeiro,Padre Miguel,6
Rio de Janeiro,Curicica,6
Rio de Janeiro,Lins de Vasconcelos,6
Rio de Janeiro,Maria da Graca,6
Rio de Janeiro,Penha,6
Cape Town,Ward 48,6
Rio de Janeiro,Pedra de Guaratiba,6
Istanbul,Avcilar,6
Rio de Janeiro,Vila da Penha,6
New York,Borough Park,6
New York,Whitestone,6
Bangkok,Suanluang,6
New York,Sea Gate,6
Cape Town,Ward 19,6
New York,Inwood,6
Rio de Janeiro,Bras de Pina,6
Cape Town,Ward 94,6
Rio de Janeiro,Maria da Graca,6
New York,Stapleton,6
Rio de Janeiro,Campinho,6
Hong Kong,Kwai Tsing,6
Bangkok,Nong Chok,6
Rio de Janeiro,Paciencia,6
Rio de Janeiro,Ricardo de Albuquerque,6
Rome,XI Arvalia/Portuense,6
Paris,Louvre,6
New York,Jamaica Hills,6
New York,Chinatown,6
Rio de Janeiro,Engenho Novo,6
Cape Town,Ward 64,6
Rio de Janeiro,Taquara,6
Rio de Janeiro,Jacarepagua,6
New York,Grant City,6
New York,Mariners Harbor,6
New York,Clifton,6
New York,Unionport,6
Hong Kong,Wong Tai Sin,6
New York,Morris Heights,6
Paris,Palais-Bourbon,6
New York,Hunts Point,6
Istanbul,Buyukcekmece,6
New York,Morrisania,6
Istanbul,Sancaktepe,6
Rio de Janeiro,Estacio,6
Hong Kong,Tai Po,6
Istanbul,Zeytinburnu,6
Cape Town,Ward 59,6
Rio de Janeiro,Cidade de Deus,6
New York,Van Nest,6
Rio de Janeiro,Piedade,6
Rio de Janeiro,Senador Vasconcelos,6
Bangkok,Bangkok Yai,6
New York,Stapleton,6
Cape Town,Ward 86,6
Cape Town,Ward 48,6
New York,Riverdale,6
Rio de Janeiro,Bento Ribeiro,6
Rio de Janeiro,Higienopolis,5
Bangkok,Bangkok Noi,5
New York,West Brighton,5
New York,Fordham,5
Mexico City,Azcapotzalco,5
Cape Town,Ward 65,5
Cape Town,Ward 66,5
New York,Co-op City,5
New York,New Brighton,5
New York,Gravesend,5
Istanbul,Sultanbeyli,5
Istanbul,Beykoz,5
Cape Town,Ward 107,5
Cape Town,Ward 68,5
Bangkok,Wang Thong Lang,5
Rio de Janeiro,Catumbi,5
New York,Clifton,5
Sydney,Lane Cove,5
Cape Town,Ward 7,5
Hong Kong,Tuen Mun,5
Rio de Janeiro,Santissimo,5
New York,Concourse Village,5
Rio de Janeiro,Pilares,5
New York,Edgemere,5
Cape Town,Ward 62,5
Bangkok,Bangkok Yai,5
Rio de Janeiro,Piedade,5
Sydney,North Sydney,5
Rome,X Ostia/Acilia,5
New York,Midwood,5
New York,Vinegar Hill,5
New York,Eastchester,5
New York,Baychester,5
New York,Norwood,5
New York,Howard Beach,5
New York,Jamaica Estates,5
New York,Midland Beach,5
New York,Coney Island,5
Cape Town,Ward 21,5
Cape Town,Ward 72,5
New York,Sea Gate,5
New York,Greenpoint,5
Istanbul,Bayrampasa,5
Rio de Janeiro,Cocota,5
Istanbul,Umraniye,5
Rio de Janeiro,Cosmos,5
Hong Kong,Kwai Tsing,5
Rio de Janeiro,Santa Cruz,5
New York,Belmont,5
Rio de Janeiro,Madureira,5
Rome,III Monte Sacro,5
New York,Morrisania,5
New York,Westchester Square,5
Cape Town,Ward 49,5
Sydney,Auburn,5
Rio de Janeiro,Parada de Lucas,5
Cape Town,Ward 17,5
Cape Town,Ward 60,5
New York,Edenwald,5
Rome,X Ostia/Acilia,5
Rio de Janeiro,Del Castilho,5
New York,Mariners Harbor,5
Rome,IV Tiburtina,5
Istanbul,Sile,5
Sydney,Warringah,5
Sydney,Woollahra,5
New York,Hollis,5
New York,Melrose,5
New York,Edgemere,5
Bangkok,Thon buri,5
Rio de Janeiro,Vasco da Gama,5
New York,East Morrisania,5
Bangkok,Pra Wet,5
New York,Sunset Park,5
New York,Whitestone,5
Rio de Janeiro,Taua,5
Istanbul,Eyup,5
Rio de Janeiro,Sampaio,5
New York,Castleton Corners,4
New York,Gowanus,4
Cape Town,Ward 32,4
Cape Town,Ward 66,4
Rio de Janeiro,Padre Miguel,4
Rio de Janeiro,Humaita,4
Rio de Janeiro,Jardim Sulacap,4
Bangkok,Thon buri,4
New York,Randall Manor,4
New York,Ozone Park,4
New York,Port Morris,4
Rio de Janeiro,Pitangueiras,4
Cape Town,Ward 77,4
Rio de Janeiro,Jardim Sulacap,4
New York,Woodside,4
Rio de Janeiro,Penha Circular,4
Istanbul,Tuzla,4
Cape Town,Ward 76,4
Rio de Janeiro,Leblon,4
Sydney,Canada Bay,4
Rio de Janeiro,Cosmos,4
Hong Kong,Wong Tai Sin,4
Rio de Janeiro,Vasco da Gama,4
Sydney,Burwood,4
New York,City Island,4
Rio de Janeiro,Vila Militar,4
Rio de Janeiro,Andarai,4
Cape Town,Ward 10,4
Bangkok,Yan na wa,4
New York,Concord,4
Rio de Janeiro,Inhauma,4
New York,Jamaica Hills,4
Sydney,Waverley,4
New York,Fordham,4
Rio de Janeiro,Jardim Carioca,4
New York,Kips Bay,4
Cape Town,Ward 104,4
New York,Marble Hill,4
Rio de Janeiro,Ramos,4
Bangkok,Bang Khen,4
Rio de Janeiro,Abolicao,4
Istanbul,Catalca,4
Istanbul,Buyukcekmece,4
New York,Middle Village,4
Istanbul,Pendik,4
Rio de Janeiro,Taua,4
Istanbul,Beylikduzu,4
New York,Ridgewood,4
Rio de Janeiro,Vila da Penha,4
Rio de Janeiro,Olaria,4
New York,Jamaica,4
Cape Town,Ward 82,4
Rio de Janeiro,Vargem Pequena,4
Rio de Janeiro,Quintino Bocaiuva,4
New York,Woodlawn,4
Sydney,Marrickville,4
New York,North Riverdale,4
Hong Kong,Islands,4
Rio de Janeiro,Vicente de Carvalho,4
New York,Manhattan Beach,4
Cape Town,Ward 30,4
Cape Town,Ward 7,4
Sydney,The Hills Shire,4
Rome,IX Eur,4
Rio de Janeiro,Campinho,4
New York,Shore Acres,4
Cape Town,Ward 108,4
New York,Marble Hill,4
Rio de Janeiro,Santa Cruz,4
Rio de Janeiro,Catumbi,4
Cape Town,Ward 17,4
New York,Forest Hills,4
Rio de Janeiro,Mangueira,4
New York,East Elmhurst,4
Bangkok,Bang Bon,4
New York,Shore Acres,4
Sydney,Ku-Ring-Gai,4
New York,Port Richmond,4
Rio de Janeiro,Maracana,4
Cape Town,Ward 107,4
Rio de Janeiro,Gardenia Azul,4
Cape Town,Ward 12,4
Mexico City,Tlahuac,4
Sydney,Bankstown,4
Sydney,Parramatta,4
New York,Fieldston,4
Cape Town,Ward 23,4
Sydney,Holroyd,3
Rio de Janeiro,Guadalupe,3
Bangkok,Pra Wet,3
Rio de Janeiro,Urca,3
Rio de Janeiro,Higienopolis,3
New York,North Riverdale,3
Rio de Janeiro,Guaratiba,3
Sydney,Botany Bay,3
New York,Chelsea,3
Rio de Janeiro,Penha Circular,3
Istanbul,Esenyurt,3
Cape Town,Ward 19,3
Cape Town,Ward 2,3
Rio de Janeiro,Inhoaiba,3
New York,Bensonhurst,3
New York,New Dorp Beach,3
Rio de Janeiro,Bras de Pina,3
Bangkok,Bang Phlat,3
Cape Town,Ward 111,3
New York,Olinville,3
New York,Flatiron District,3
Bangkok,Bang Kho laen,3
Sydney,Warringah,3
Cape Town,Ward 84,3
Rio de Janeiro,Santo Cristo,3
Rio de Janeiro,Portuguesa,3
Cape Town,Ward 71,3
Rio de Janeiro,Tomas Coelho,3
Sydney,Sutherland Shire,3
Cape Town,Ward 73,3
Rio de Janeiro,Praia da Bandeira,3
New York,Sunnyside,3
Cape Town,Ward 100,3
Rio de Janeiro,Praca da Bandeira,3
New York,Jackson Heights,3
Hong Kong,Kowloon City,3
Paris,Luxembourg,3
New York,Dongan Hills,3
Rome,XV Cassia/Flaminia,3
Cape Town,Ward 116,3
New York,Queens Village,3
Rio de Janeiro,Cascadura,3
Rio de Janeiro,Sampaio,3
Cape Town,Ward 21,3
Sydney,Campbelltown,3
Rio de Janeiro,Santissimo,3
Sydney,Manly,3
Bangkok,Bang Sue,3
Rio de Janeiro,Senador Camara,3
New York,South Slope,3
New York,Grant City,3
Rio de Janeiro,Galeao,3
New York,Holliswood,3
Cape Town,Ward 51,3
Bangkok,Bang Bon,3
Cape Town,Ward 2,3
Cape Town,Ward 93,3
Rio de Janeiro,Vargem Grande,3
Hong Kong,Sai Kung,3
New York,Clinton Hill,3
New York,Kensington,3
Cape Town,Ward 116,3
Rio de Janeiro,Campo Grande,3
Istanbul,Sariyer,3
Rio de Janeiro,Rocha,3
Rio de Janeiro,Sepetiba,3
Rio de Janeiro,Cidade Universitaria,3
Bangkok,Bang Khun thain,3
Sydney,City Of Kogarah,3
New York,Nolita,3
Rio de Janeiro,Barros Filho,3
New York,Oakwood,3
New York,Bellerose,3
Cape Town,Ward 92,3
Mexico City,La Magdalena Contreras,3
Istanbul,Maltepe,3
Rio de Janeiro,Pilares,3
Rio de Janeiro,Pedra de Guaratiba,3
New York,Greenwich Village,3
Rio de Janeiro,Ramos,3
Mexico City,Xochimilco,3
New York,Tremont,3
New York,Soundview,3
New York,Eltingville,3
Cape Town,Ward 25,3
Bangkok,Bang Na,3
Cape Town,Ward 110,3
Bangkok,Bang Kapi,3
New York,Bayswater,3
Bangkok,Chatu Chak,3
New York,Stuyvesant Town,3
Rio de Janeiro,Sao Cristovao,3
Cape Town,Ward 22,3
Rio de Janeiro,Olaria,3
New York,East New York,3
Cape Town,Ward 112,3
New York,Melrose,3
Rio de Janeiro,Sepetiba,3
Rio de Janeiro,Engenho da Rainha,3
Cape Town,Ward 1,3
New York,Woodlawn,3
Rio de Janeiro,Grumari,3
Cape Town,Ward 94,2
Sydney,Liverpool,2
Sydney,Mosman,2
Rio de Janeiro,Iraja,2
Hong Kong,Islands,2
Rio de Janeiro,Parada de Lucas,2
Rio de Janeiro,Parque Anchieta,2
Rome,XI Arvalia/Portuense,2
Rio de Janeiro,Bancarios,2
Cape Town,Ward 75,2
New York,Woodhaven,2
New York,Cypress Hills,2
Rio de Janeiro,Praca Seca,2
New York,Emerson Hill,2
New York,Brownsville,2
New York,Spuyten Duyvil,2
New York,South Beach,2
New York,Douglaston,2
Rio de Janeiro,Penha Circular,2
New York,Arden Heights,2
Cape Town,Ward 65,2
Rio de Janeiro,Ricardo de Albuquerque,2
New York,Westerleigh,2
Sydney,Ku-Ring-Gai,2
New York,Greenwich Village,2
Sydney,Hornsby,2
Rio de Janeiro,Higienopolis,2
New York,Ditmars Steinway,2
New York,Bay Terrace,2
Cape Town,Ward 30,2
Rio de Janeiro,Parque Anchieta,2
Cape Town,Ward 41,2
Cape Town,Ward 92,2
Istanbul,Adalar,2
New York,Park Slope,2
Sydney,Penrith,2
Rio de Janeiro,Ramos,2
New York,Parkchester,2
New York,West Village,2
Rio de Janeiro,Gamboa,2
Cape Town,Ward 55,2
Istanbul,Arnavutkoy,2
New York,Riverdale,2
New York,New Springville,2
Cape Town,Ward 63,2
Hong Kong,Wong Tai Sin,2
Bangkok,Lat Phrao,2
Rio de Janeiro,Inhauma,2
Rio de Janeiro,Meier,2
Rio de Janeiro,Jacare,2
Rio de Janeiro,Monero,2
Rio de Janeiro,Lagoa,2
Cape Town,Ward 104,2
New York,Prince's Bay,2
New York,Port Richmond,2
Istanbul,Silivri,2
Mexico City,Milpa Alta,2
New York,Bergen Beach,2
Rio de Janeiro,Jacare,2
Bangkok,Chom Thong,2
Rio de Janeiro,Tomas Coelho,2
Rio de Janeiro,Cascadura,2
New York,Silver Lake,2
Rio de Janeiro,Marechal Hermes,2
New York,Belle Harbor,2
New York,Little Neck,2
New York,Concourse,2
New York,Richmond Hill,2
New York,Mount Eden,2
New York,Chinatown,2
Rio de Janeiro,Pavuna,2
New York,Bay Terrace,2
Bangkok,Taling Chan,2
New York,Mount Eden,2
New York,Van Nest,2
New York,Great Kills,2
Istanbul,Uskudar,2
Bangkok,Bang Kho laen,2
New York,Gramercy,2
New York,Williamsburg,2
Rio de Janeiro,Paciencia,2
New York,Flatlands,2
Istanbul,Cekmekoy,2
New York,Canarsie,2
New York,Howland Hook,2
New York,Downtown Brooklyn,2
New York,Spuyten Duyvil,2
Rio de Janeiro,Pitangueiras,2
New York,Concourse Village,2
Rio de Janeiro,Freguesia (Ilha),2
New York,Brighton Beach,2
Rio de Janeiro,Coelho Neto,2
New York,Rosebank,2
New York,Emerson Hill,2
Rio de Janeiro,Praca da Bandeira,2
Rio de Janeiro,Osvaldo Cruz,2
New York,Rossville,2
New York,Mill Basin,2
New York,Oakwood,2
Cape Town,Ward 53,2
Cape Town,Ward 85,2
Rio de Janeiro,Saude,2
New York,Holliswood,2
Cape Town,Ward 69,2
New York,Maspeth,2
Cape Town,Ward 82,2
Bangkok,Bang Khen,2
Cape Town,Ward 58,2
Rio de Janeiro,Pavuna,2
New York,New Dorp,2
New York,St. Albans,2
Rio de Janeiro,Ribeira,2
Rio de Janeiro,Gavea,2
Rio de Janeiro,Grajau,2
New York,Todt Hill,2
New York,Tremont,2
Cape Town,Ward 81,2
Rio de Janeiro,Senador Camara,2
New York,Little Neck,2
Rio de Janeiro,Coelho Neto,2
Rio de Janeiro,Vigario Geral,2
New York,Rosebank,2
Rio de Janeiro,Rocinha,2
Cape Town,Ward 16,2
Rio de Janeiro,Rocha Miranda,2
Cape Town,Ward 108,2
Cape Town,Ward 44,2
Rio de Janeiro,Cordovil,2
Rio de Janeiro,Vicente de Carvalho,2
Rio de Janeiro,Quintino Bocaiuva,2
Rio de Janeiro,Sao Francisco Xavier,2
Rio de Janeiro,Osvaldo Cruz,2
Istanbul,Bahcelievler,2
New York,Navy Yard,2
New York,Westchester Square,2
Cape Town,Ward 16,2
New York,Coney Island,2
Rio de Janeiro,Pechincha,2
Rio de Janeiro,Jardim Guanabara,1
New York,College Point,1
New York,West Farms,1
New York,Eltingville,1
Rio de Janeiro,Vista Alegre,1
New York,Richmondtown,1
Rio de Janeiro,Cidade Universitaria,1
Rio de Janeiro,Barros Filho,1
Rio de Janeiro,Bonsucesso,1
Rio de Janeiro,Taquara,1
Rio de Janeiro,Jardim Sulacap,1
New York,Mott Haven,1
Rio de Janeiro,Cacuia,1
New York,Huguenot,1
Sydney,Blacktown,1
Cape Town,Ward 12,1
New York,Tottenville,1
Rio de Janeiro,Complexo do Alemao,1
Rio de Janeiro,Cocota,1
New York,New Dorp Beach,1
Rio de Janeiro,Vaz Lobo,1
New York,Shore Acres,1
Rio de Janeiro,Benfica,1
New York,Holliswood,1
New York,Graniteville,1
Rio de Janeiro,Santissimo,1
New York,Bull's Head,1
Rio de Janeiro,Quintino Bocaiuva,1
Cape Town,Ward 31,1
Cape Town,Ward 68,1
New York,Fresh Meadows,1
Rio de Janeiro,Honorio Gurgel,1
Istanbul,Bagcilar,1
Rio de Janeiro,Cacuia,1
Rio de Janeiro,Riachuelo,1
New York,Bedford-Stuyvesant,1
Cape Town,Ward 96,1
New York,Fort Greene,1
Cape Town,Ward 113,1
New York,Civic Center,1
Rio de Janeiro,Engenho de Dentro,1
Hong Kong,Kwun Tong,1
New York,Briarwood,1
New York,Concord,1
Cape Town,Ward 101,1
Rio de Janeiro,Ribeira,1
Rio de Janeiro,Vila da Penha,1
Sydney,Camden,1
New York,Country Club,1
Rio de Janeiro,Parque Anchieta,1
New York,Todt Hill,1
Rio de Janeiro,Deodoro,1
New York,Prospect-Lefferts Gardens,1
New York,Bronxdale,1
Cape Town,Ward 45,1
Rio de Janeiro,Monero,1
New York,New Brighton,1
Rio de Janeiro,Saude,1
Mexico City,Iztapalapa,1
Rio de Janeiro,Vasco da Gama,1
Rio de Janeiro,Gericino,1
Cape Town,Ward 25,1
Istanbul,Sultangazi,1
Cape Town,Ward 94,1
New York,Red Hook,1
Bangkok,Bueng Kum,1
Cape Town,Ward 18,1
New York,Mill Basin,1
Rio de Janeiro,Leblon,1
Rio de Janeiro,Inhoaiba,1
Istanbul,Catalca,1
Rio de Janeiro,Cascadura,1
New York,Arden Heights,1
Sydney,Sutherland Shire,1
Rio de Janeiro,Vaz Lobo,1
Rio de Janeiro,Anchieta,1
Cape Town,Ward 50,1
Rio de Janeiro,Coelho Neto,1
Cape Town,Ward 61,1
Hong Kong,Sham Shui Po,1
Rio de Janeiro,Paqueta,1
Rio de Janeiro,Abolicao,1
Rio de Janeiro,Deodoro,1
New York,Willowbrook,1
Rio de Janeiro,Magalhaes Bastos,1
Istanbul,Tuzla,1
New York,Bayside,1
Bangkok,Phasi Charoen,1
Cape Town,Ward 29,1
Cape Town,Ward 40,1
New York,SoHo,1
Cape Town,Ward 83,1
Istanbul,Gungoren,1
New York,Fort Wadsworth,1
Rio de Janeiro,Mare,1
New York,New Springville,1
Cape Town,Ward 103,1
New York,Theater District,1
Cape Town,Ward 96,1
Rio de Janeiro,Cachambi,1
Bangkok,Min Buri,1
Rio de Janeiro,Agua Santa,1
Cape Town,Ward 110,1
New York,Kew Gardens,1
Rio de Janeiro,Mangueira,1
Cape Town,Ward 3,1
New York,Midland Beach,1
Istanbul,Sultanbeyli,1
Bangkok,Phasi Charoen,1
New York,Lighthouse Hill,1
New York,Douglaston,1
Mexico City,Tlalpan,1
New York,Kips Bay,1
New York,Springfield Gardens,1
Rio de Janeiro,Bancarios,1
Cape Town,Ward 72,1
Cape Town,Ward 4,1
Cape Town,Ward 91,1
New York,Far Rockaway,1
Rio de Janeiro,Anil,1
New York,Richmondtown,1
Rio de Janeiro,Alto da Boa Vista,1
Cape Town,Ward 38,1
New York,Park Slope,1
Sydney,Holroyd,1
Rio de Janeiro,Praia da Bandeira,1
Rio de Janeiro,Marechal Hermes,1
Rio de Janeiro,Encantado,1
New York,Unionport,1
Rio de Janeiro,Olaria,1
New York,Bull's Head,1
Rio de Janeiro,Zumbi,1
Sydney,Leichhardt,1
Rome,XIV Monte Mario,1
New York,Norwood,1
Cape Town,Ward 81,1
Cape Town,Ward 78,1
Cape Town,Ward 20,1
Rio de Janeiro,Vargem Pequena,1
New York,Harlem,1
Hong Kong,Tsuen Wan,1
Cape Town,Ward 111,1
Rio de Janeiro,Anchieta,1
New York,Bushwick,1
Sydney,Willoughby,1
Cape Town,Ward 57,1
Rio de Janeiro,Vila Kosmos,1
New York,Olinville,1
New York,East Village,1
Cape Town,Ward 44,1
New York,Battery Park City,1
Rio de Janeiro,Cosme Velho,1
Rio de Janeiro,Sampaio,1
Cape Town,Ward 6,1
New York,Woodrow,1
Rio de Janeiro,Mangueira,1
Rio de Janeiro,Complexo do Alemao,1
New York,St. George,1
New York,University Heights,1
Cape Town,Ward 32,1
Cape Town,Ward 9,1
Cape Town,Ward 74,1
Bangkok,Min Buri,1
Rio de Janeiro,Piedade,1
New York,Pelham Bay,1
Sydney,Pittwater,1
New York,Great Kills,1
New York,Rego Park,1
Rio de Janeiro,Manguinhos,1
Rio de Janeiro,Cavalcanti,1
New York,South Beach,1
Hong Kong,Tsuen Wan,1
Rio de Janeiro,Realengo,1
Rio de Janeiro,Cavalcanti,1
Cape Town,Ward 59,1
New York,Belle Harbor,1
Rio de Janeiro,Leme,1
Rio de Janeiro,Bento Ribeiro,1
Cape Town,Ward 1,1
Rio de Janeiro,Senador Camara,1
Cape Town,Ward 67,1
New York,Astoria,1
Rio de Janeiro,Manguinhos,1
Istanbul,Gaziosmanpasa,1
New York,Kew Gardens Hills,1
New York,Fort Hamilton,1
New York,Schuylerville,1
Cape Town,Ward 78,1
Rio de Janeiro,Engenho da Rainha,1
Cape Town,Ward 84,1
New York,Two Bridges,1
New York,Manhattan Beach,1
Rio de Janeiro,Jardim Carioca,1
Rio de Janeiro,Bangu,1
Cape Town,Ward 53,1
Rio de Janeiro,Rocha Miranda,1
Cape Town,Ward 29,1
Cape Town,Ward 28,1
Rio de Janeiro,Bento Ribeiro,1
New York,Graniteville,1
Cape Town,Ward 58,1
New York,Roosevelt Island,1
Rio de Janeiro,Camorim,1
Rio de Janeiro,Acari,1
New York,Mill Basin,1
Mexico City,Iztacalco,1
Cape Town,Ward 92,1
New York,Castle Hill,1
New York,Cobble Hill,1
New York,Olinville,1
New York,Little Neck,1
Cape Town,Ward 75,1
New York,Gerritsen Beach,1
Rio de Janeiro,Madureira,1
Cape Town,Ward 5,1
New York,Van Nest,1
Cape Town,Ward 55,1
Istanbul,Zeytinburnu,1
Rio de Janeiro,Maria da Graca,1
New York,Castleton Corners,1
Cape Town,Ward 26,1
